Surname;Origin;Nobiliary_particle
Aras;tr;no
Erikli;tr;no
Bozoğlu;tr;no
Çağlar;tr;no
Taş;tr;no
Dogan;tr;no
Demirel;tr;no
Özdemir;tr;no
Yilmaz;tr;no
Yüksel;tr;no
von Eyb;de;yes
von Halem;de;yes
vom Bruch;de;yes
von Berg;de;yes
von Breitenbuch;de;yes
von Brunn;de;yes
von Danwitz;de;yes
von Angern;de;yes
von Kalben;de;yes
von Pein;de;yes
Becker;de;no
Dürr;de;no
Gruber;de;no
Haußmann;de;no
Klein;de;no
Pfeiffer;de;no
Sänze;de;no
Pohl;de;no
Stettner;de;no
Zimmermann;de;no